a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,fecha,monto,score,fraude
4,0.7722,142472.30,30,1.1519230769230769,0,BR,14,cat_8cd8cc9,0.86229872810697472,1036,119,1,,Y,2020-03-30 17:23:38,10.24,63,0
4,,,2,0.5519350649350649,0,AR,5,cat_3203c7c,0.76270675723016268,1431,5,1,,N,2020-03-09 21:10:50,12.38,13,0
4,0.5699,85393.98,2,0.4264150943396226,0,AR,1,cat_c00ebe0,0.19422140244375186,857,21,1,N,N,2020-03-15 09:16:28,12.72,4,0
4,0.7585,10846745.36,50,0.0000000000000000,22,AR,1,cat_43b9c10,0.97069169192890215,2401,374,1,N,Y,2020-04-13 07:20:25,215.67,69,0
4,0.7183,2160.33,3,0.0000000000000000,17,BR,1,cat_f30e066,0.89933799236808554,3268,23,1,N,N,2020-04-20 20:17:02,62.82,23,0
4,0.5534,88854.70,50,0.2181742424242424,8,AR,48,cat_9878928,0.5201144118084926,5822,655,1,,Y,2020-03-16 15:39:54,21.13,53,0
2,0.7144,621131.31,3,0.0000000000000000,157,AR,28,cat_4341bce,0.46736884280366908,2814,880,1,Y,Y,2020-03-16 12:29:25,76.82,79,0
2,,,3,0.0000000000000000,3,BR,2,cat_1255849,0.20821906965676718,2904,88,1,N,N,2020-04-12 17:19:18,141.52,78,0
4,,,50,0.2014492753623188,0,BR,4,cat_50684df,0.49247865999593188,441,438,1,Y,Y,2020-03-10 04:53:45,15.35,20,0
4,0.7804,96310.03,2,0.1472222222222222,2,BR,37,cat_becb32d,0.43960927262983063,456,70,1,,N,2020-04-15 11:28:05,20.68,48,0
4,0.6544,74248.41,50,0.1311111111111111,59,BR,26,cat_a6eebed,0.73274482624684723,4968,1156,1,,Y,2020-03-11 10:19:36,10.03,36,0
4,0.8411,29622.04,50,0.0000000000000000,69,BR,5,cat_6c4cfdc,0.21233087711401666,947,58,1,Y,N,2020-03-28 10:04:29,37.79,61,0
4,0.6753,35224.80,21,0.4044715447154471,0,BR,10,cat_f8d350f,0.72524316067345396,526,36,0,,N,2020-04-19 12:42:27,9.69,73,0
4,0.7332,48647.37,50,0.0726927939317319,14,BR,11,cat_1104aa0,0.45729041302758944,3865,442,1,,Y,2020-03-16 17:01:37,20.03,35,0
2,0.7348,171803.98,50,0.0000000000000000,3,BR,49,cat_5f75e7b,0.90178199052922992,917,917,1,Y,Y,2020-04-17 22:47:28,80.74,76,1
4,0.6350,95429.39,50,0.1786570743405275,2,BR,25,cat_3f81bbe,0.35620598750691812,818,181,1,Y,Y,2020-03-20 09:05:42,17.08,21,0
4,0.7586,567398.93,4,0.0000000000000000,2,AR,29,cat_fcaff79,0.36234970961338675,2523,78,1,,N,2020-03-10 14:59:07,67.44,39,0
4,0.7731,964.07,31,0.1376040703052728,5,BR,5,cat_0a2013e,0.14051292807589277,894,59,1,,N,2020-03-17 12:53:43,18.25,14,0
2,,,1,0.0000000000000000,4,UY,0,cat_684152e,0.29904790586764562,3486,0,1,,N,2020-04-15 15:47:51,200.00,72,0
4,0.7269,45574.06,21,0.1211245693965996,13,BR,54,cat_24a02e3,0.1999272746185099,2733,1100,1,,Y,2020-04-02 17:50:13,17.99,59,0
3,0.8427,457776.37,0,0.1532919445083160,0,BR,23,cat_41bcb66,0.84736276908207131,0,0,0,,N,2020-03-17 15:46:07,110.15,80,0
4,0.7821,168118.24,1,0.0000000000000000,1,BR,5,cat_45398dd,0.65962298528701524,1620,0,1,,N,2020-04-21 09:30:20,55.07,16,0
4,0.8072,55323.46,5,0.0000000000000000,31,BR,1,cat_604df77,0.66668231064333128,3175,79,1,,N,2020-03-20 18:39:16,39.06,42,0
4,0.7274,17647.75,50,0.0000000000000000,25,AR,0,cat_4d863c8,0.28940533988183503,1457,690,1,,Y,2020-04-16 19:13:17,51.41,22,0
4,0.4363,176.72,50,0.5344655172413793,25,AR,1,cat_03eb9af,0.30394751103977313,3818,815,1,Y,Y,2020-04-20 18:20:53,8.87,96,0
4,0.8688,18680.92,1,0.0964487489911218,0,BR,1,cat_72781ea,0.66515956076887051,0,0,1,N,N,2020-04-17 09:32:44,48.80,72,0
4,0.7707,162645.93,40,0.0000000000000000,1,BR,9,cat_5d6059e,0.75207911958030493,504,74,0,,N,2020-04-19 10:51:20,38.80,74,0
4,0.7507,130259.89,9,0.0000000000000000,0,BR,2,cat_c4d032e,0.84693735003665083,151,147,1,,N,2020-04-18 11:56:31,57.11,89,0
4,0.7261,262790.27,50,0.1341213912252784,27,BR,20,cat_1025606,0.8806713090301912,2524,223,1,,Y,2020-03-30 10:44:02,8.75,51,0
1,0.8344,1838993.98,1,0.0000000000000000,0,BR,4,cat_e5ca240,0.03667302900970526,141,0,1,N,N,2020-03-23 11:32:31,561.42,92,0
4,0.5952,377899.00,5,0.4525646551724137,5,AR,31,cat_4341bce,0.36233630636817793,744,166,1,,Y,2020-04-15 12:33:46,7.13,41,0
4,,,20,0.0000000000000000,38,BR,15,cat_5b4c8c8,0.84503692092531324,2473,283,1,,Y,2020-03-13 13:05:11,209.71,38,0
4,0.7835,2463.44,50,0.0897385875926648,1,BR,10,cat_26e1918,0.71831525385828954,267,263,1,,Y,2020-04-08 14:15:03,14.79,58,0
4,0.8192,48099.23,2,0.0101899827288428,0,BR,0,cat_6c4cfdc,0.10752049367012972,2808,9,1,,N,2020-03-30 12:45:02,115.23,63,0
2,0.8177,139.07,42,0.0000000000000000,106,BR,1,cat_812af3d,0.063369033682398879,4896,296,1,,Y,2020-04-10 23:22:41,13.11,63,0
4,0.7399,11232.21,2,0.4088235294117647,22,BR,7,cat_ce396c3,0.70848862633265242,2237,0,1,,N,2020-03-08 20:43:34,7.56,37,0
4,0.6668,47836.55,20,0.4452226113056528,2,BR,9,cat_02222ba,0.85068085316239817,119,117,1,Y,Y,2020-03-25 19:14:50,3.91,12,0
4,0.8486,6202.25,2,0.0000000000000000,17,BR,11,cat_7f669a9,0.96521324409545173,1140,56,1,,N,2020-04-15 11:09:47,28.63,15,0
4,0.8368,39549.84,3,0.0000000000000000,0,BR,52,cat_c8fff07,0.01944749172900373,52,52,0,,N,2020-04-03 10:57:36,59.99,71,0
4,0.7457,263217.45,22,0.0000000000000000,1,AR,0,cat_43b9c10,0.10522544474300233,521,265,1,N,Y,2020-03-23 20:34:27,193.95,96,0
4,0.7659,475246.21,2,0.0000000000000000,32,AR,6,cat_02ceaf1,0.5031585440818418,4517,397,1,,N,2020-04-07 17:54:34,410.89,49,0
4,0.7118,3166137.86,50,0.1834260355029585,31,AR,10,cat_5088b9a,0.17740563118718455,4253,818,1,Y,Y,2020-03-11 06:56:03,27.12,93,0
4,0.7263,79698.96,30,0.4952476238119059,0,BR,22,cat_e830a06,0.71130095348432931,2215,359,1,,Y,2020-03-28 21:22:07,3.98,71,0
4,0.7966,23228.60,7,0.0000000000000000,0,BR,3,cat_23cf592,0.42379180961989604,208,208,1,,Y,2020-03-21 17:01:32,25.34,53,0
4,0.4794,87000.83,2,0.0000000000000000,0,US,12,cat_a349b79,0.4032882058591909,0,0,0,N,N,2020-04-10 21:29:27,89.91,20,0
4,0.6979,11914.96,15,0.4176904176904176,61,BR,10,cat_237e2d0,0.66315761538750451,3853,18,1,,N,2020-04-12 15:33:31,5.38,6,0
1,0.8695,2014566.55,1,0.3076027928626842,3,BR,11,cat_66fabf5,0.19931008308435949,1245,13,1,,N,2020-04-21 17:18:20,9.94,28,0
4,0.7938,4954.33,1,0.3554206108233613,14,BR,1,cat_b0857ed,0.86180799770743022,1868,10,1,,N,2020-04-19 01:41:03,11.03,71,0
4,0.7135,1146570.50,4,0.0000000000000000,0,AR,2,cat_ea962fb,0.87135654113730254,361,88,0,,N,2020-03-24 21:57:19,148.40,87,0
4,0.6159,399003.84,1,0.0000000000000000,298,AR,31,cat_a28270e,0.0034548450629152683,5008,131,1,Y,Y,2020-03-16 00:18:16,40.85,78,0
4,0.7984,1096.51,24,0.0000000000000000,5,BR,25,cat_125700b,0.42438211882268462,3805,544,1,,Y,2020-04-11 17:54:56,30.17,58,0
4,0.8314,3416961.02,1,0.0000000000000000,0,BR,36,cat_7c916c9,0.29240911182535356,569,0,1,,N,2020-03-22 11:10:25,40.10,12,1
4,,,1,0.2779850746268656,0,BR,5,cat_42eddbd,0.51759820437144199,340,0,1,,N,2020-03-11 09:44:35,11.94,20,0
4,0.7359,243812.26,24,0.2472222222222222,12,BR,41,cat_e8bcf2e,0.1115224385637994,1983,162,1,,Y,2020-04-07 07:00:50,6.98,93,0
4,0.7905,5114.54,11,1.2515723270440251,26,BR,0,cat_604df77,0.042238748522891001,1939,1156,1,,Y,2020-03-20 13:04:12,3.26,3,0
4,0.5749,99396.90,1,0.0000000000000000,40,AR,24,cat_4e4983b,0.81082644393958958,4435,0,1,,N,2020-03-18 07:46:29,9.11,41,0
4,0.7170,3370.33,5,0.0000000000000000,7,BR,0,cat_72781ea,0.32574303071999822,1989,26,1,,N,2020-04-02 12:49:03,29.56,72,0
1,0.8432,5385017.69,21,0.0495133305120609,12,BR,6,cat_96c1c2f,0.25455203507682,1985,100,1,,N,2020-04-07 10:57:34,22.90,41,0
4,0.6511,136657.85,8,0.0000000000000000,2,AR,24,cat_111a29a,0.79548633348779774,868,101,1,,N,2020-04-01 15:21:46,203.70,0,0
4,0.5580,201115.00,3,0.4003861003861003,13,AR,15,cat_ea962fb,0.070579137810653947,1848,347,1,,Y,2020-04-16 20:39:48,10.73,64,0
4,0.5907,647025.58,50,0.0000000000000000,1,AR,7,cat_3686743,0.48526349179275741,1853,273,1,N,Y,2020-03-24 15:10:28,12.13,96,0
4,0.6796,56804.42,6,0.1999954285453059,19,AR,0,cat_8d395f1,0.26443268668216646,2951,320,1,,Y,2020-04-04 15:33:35,27.17,49,0
4,0.6245,53087.27,8,0.0000000000000000,25,AR,12,cat_efd0a78,0.0044014331167225862,5721,687,1,,Y,2020-04-09 13:20:20,51.37,43,0
4,0.4221,716.73,50,0.8227056764191047,159,BR,1,cat_33c7ce1,0.72614196463180392,4127,1104,1,,Y,2020-04-10 17:57:11,7.55,45,0
4,0.8305,19741.34,8,0.3088888888888888,26,BR,29,cat_5563900,0.52042506461522819,4534,262,1,,Y,2020-04-12 14:03:44,8.49,55,0
4,0.7322,19563.15,26,0.4079545454545454,24,BR,4,cat_8869fae,0.1619166427622396,3642,403,1,,Y,2020-03-08 17:10:34,19.56,65,0
2,0.5542,22015.70,5,0.0000000000000000,290,AR,48,cat_2216e95,0.94384012850060728,6283,15,1,N,N,2020-03-25 10:17:23,14.25,86,0
4,0.5792,116685.99,17,0.0000000000000000,23,AR,1,cat_322cb82,0.95397398476121964,2107,1084,1,Y,Y,2020-04-15 12:00:54,70.68,31,0
4,,,3,0.3372881355932203,18,BR,6,cat_c598f3b,0.71594462045712604,3843,219,1,,Y,2020-03-13 11:09:23,12.77,10,0
4,0.7089,10578.69,4,1.4083333333333333,9,BR,36,cat_9e818fa,0.95476984874670734,1109,369,1,Y,Y,2020-03-08 15:36:38,2.67,6,0
4,0.7245,56374.49,1,0.5815899581589958,9,BR,5,cat_574d0cb,0.89373936831899314,2409,6,1,,Y,2020-03-22 16:18:05,5.05,23,0
4,0.6441,3661.29,50,0.0000000000000000,5,BR,30,cat_751da20,0.87037715402929194,803,800,1,N,Y,2020-04-15 13:31:40,94.80,77,0
4,0.7693,42159.60,23,0.4263233190271816,112,BR,19,cat_69d465e,0.19095290790911434,5918,64,1,,N,2020-03-26 17:11:27,6.79,13,0
4,0.8386,28701.05,20,0.1895094754737736,13,BR,2,cat_cb24291,0.13899343866581049,2303,152,1,,Y,2020-03-23 20:04:33,42.23,52,0
4,0.8355,127994.46,44,0.0000000000000000,0,BR,9,cat_4249bd8,0.34490744597559697,104,101,0,,N,2020-04-09 14:03:32,28.60,89,0
4,0.7155,3899.23,16,0.0881108118507118,14,BR,51,cat_df59bf3,0.070251340516044536,1228,169,1,Y,Y,2020-04-09 19:58:12,49.36,53,0
4,0.7677,244839.68,4,0.2434354485776805,6,BR,57,cat_303c45e,0.60967178474727035,882,96,1,,Y,2020-04-08 13:50:24,7.03,44,0
4,0.8439,132615.81,20,0.0000000000000000,0,BR,1,cat_604df77,0.24926001933734554,1256,1255,1,,N,2020-04-20 19:52:05,110.51,20,0
1,0.7310,652635.26,12,0.0000000000000000,2,BR,28,cat_8ef7164,0.14329322435193603,1005,112,1,,N,2020-04-01 10:41:10,13.78,41,0
4,0.7709,21824.89,50,0.4966059306895319,81,,31,cat_edaad67,0.52318095455368763,2582,464,1,,Y,2020-03-27 00:05:01,5.44,23,0
2,0.8381,9644.93,22,0.0000000000000000,7,BR,1,cat_6c4cfdc,0.12611320156685935,2550,234,1,Y,Y,2020-04-13 17:56:18,32.40,72,0
4,0.5514,76622.21,6,0.1975523399014778,1,AR,21,cat_e6fcb5f,0.36829165467513647,1443,340,1,N,Y,2020-04-16 15:13:58,29.91,28,0
4,0.7685,51367.02,21,0.0000000000000000,1,BR,3,cat_38384d9,0.15036420901116188,140,53,1,N,N,2020-03-23 07:11:44,40.11,75,0
1,0.8386,825966.43,4,0.0634307035530606,1,BR,9,cat_abed7c5,0.17113860747439347,923,923,1,,Y,2020-03-28 16:04:08,296.02,85,0
4,0.6896,115310.79,37,0.0000000000000000,1,AR,1,cat_8be626d,0.97720272527758922,63,60,0,,N,2020-04-09 01:29:52,49.59,93,1
4,0.8270,16327.89,8,0.1143678160919540,0,BR,23,cat_b3e6b9d,0.53227414768750592,70,17,0,,N,2020-04-10 20:44:36,33.05,77,0
4,0.7263,2726.58,1,0.2914083259521700,-1,BR,6,cat_f810931,0.02435910494595106,3068,0,1,Y,N,2020-04-14 21:31:16,21.52,54,0
4,0.7037,39259.19,7,0.0000000000000000,189,US,23,cat_31d561a,0.08757780065155174,5771,87,1,,N,2020-03-10 11:29:00,40.32,14,0
4,0.7319,117088.34,20,0.0000000000000000,0,BR,17,cat_237e2d0,0.80931590019207533,1516,38,1,,N,2020-03-29 22:09:07,29.85,30,0
4,0.4700,22158.29,12,0.1793115814591824,27,AR,4,cat_92406a2,0.9693677075460414,3440,14,1,,N,2020-03-19 12:55:05,23.14,86,0
4,0.7231,33548.18,50,0.0000000000000000,6,BR,33,cat_d69bed9,0.4206075511438705,370,155,1,N,Y,2020-04-14 12:00:58,24.86,92,0
4,0.7931,12155.81,17,0.0000000000000000,70,BR,7,cat_d69bed9,0.28962859045814682,5402,127,1,,Y,2020-03-10 15:57:59,36.71,56,0
4,0.7055,26591.18,11,0.6524590163934426,44,BR,22,cat_fd8d8c5,0.50857646379003896,3864,962,1,Y,Y,2020-04-20 20:41:22,6.01,60,0
4,0.7991,300933.12,1,0.0000000000000000,4,BR,15,cat_0e2f57d,0.16748592172008259,2400,0,1,N,N,2020-04-20 15:44:26,58.88,94,1
4,0.8177,71036.07,6,0.8972431077694235,9,BR,4,cat_0820fab,0.26606262992534013,1474,127,1,,N,2020-04-02 15:00:53,3.93,45,0
4,0.7210,49831.52,1,0.1483580596766127,0,BR,19,cat_773a095,0.48904640134394128,491,0,1,,N,2020-04-04 10:54:57,11.74,82,0
4,0.8257,82244.15,3,0.0000000000000000,5,BR,13,cat_8a772ac,0.43653259756613849,3225,27,1,,N,2020-04-12 07:47:34,33.11,77,0
4,0.7382,12878.75,1,0.6633333333333333,41,MX,2,cat_b4afa94,0.13849112174337819,2484,0,1,N,N,2020-03-31 18:26:33,5.92,42,0
4,0.6491,31844.92,42,1.1744630872483221,53,AR,3,cat_5108a5a,0.37814140685290454,1441,422,1,Y,Y,2020-04-16 13:33:01,4.57,62,0
4,,,1,0.0000000000000000,48,AR,47,cat_2723ab1,0.89811392958664982,3122,1,1,,N,2020-03-11 20:45:05,57.76,88,0
2,,,4,0.0000000000000000,7,AR,46,cat_76995e9,0.5386238482748098,1461,15,1,,N,2020-03-12 12:37:40,8.18,99,0
4,0.7522,10559.67,47,0.4486215538847117,1,BR,17,cat_13c0748,0.75354290660723322,1292,439,1,,Y,2020-04-09 18:28:36,7.58,62,0
4,0.8389,847563.81,8,0.2896443748602102,18,BR,19,cat_d5f76af,0.70037257735121017,3893,21,1,,N,2020-04-15 19:40:53,17.16,6,0
4,0.6928,1309617.74,10,0.2221737389911929,4,AR,2,cat_b7adefa,0.25369410546937843,1385,142,1,,N,2020-04-14 15:45:32,38.44,43,0
4,0.7477,3163.13,50,0.0000000000000000,4,BR,1,cat_e818002,0.025573654430541382,1232,1228,1,,Y,2020-03-24 12:06:46,35.35,58,0
4,0.7600,511725.69,19,0.2445054945054945,10,BR,23,cat_827d50f,0.30694908881564587,2783,89,1,,Y,2020-03-16 14:50:03,7.83,49,0
4,0.7116,1076636.18,50,0.0000000000000000,33,AR,4,cat_d26ab52,0.87435097766806891,5335,1464,1,,Y,2020-03-17 15:30:19,100.72,57,0
2,0.8125,1261.75,41,0.0000000000000000,1,BR,0,cat_2db1d82,0.84768232014686973,834,408,1,,Y,2020-03-13 20:35:18,108.21,84,0
2,,,50,0.0000000000000000,3,BR,22,cat_2dc5e28,0.089986002241683849,4115,764,0,N,N,2020-03-18 15:36:39,25.68,82,1
4,0.8951,39597.27,7,0.4783599088838268,8,BR,21,cat_c4bf2e7,0.73065365665965132,4703,235,1,,Y,2020-04-17 14:59:02,7.78,0,0
4,0.7778,4353.99,35,0.0000000000000000,230,BR,2,cat_51aa327,0.59681361477722206,4645,197,1,,Y,2020-04-20 11:43:09,60.95,27,0
4,0.7907,35101.04,50,0.2038461538461538,13,BR,13,cat_1366fde,0.65473888558306115,2724,74,1,,N,2020-04-07 12:33:09,15.12,36,0
4,0.5773,245123.55,50,0.2270900692840646,13,AR,28,cat_bf6dfa0,0.035975923585180425,2347,275,1,Y,Y,2020-03-09 13:17:25,20.88,95,0
3,0.7484,653753.76,8,0.0000000000000000,98,BR,56,cat_ff61796,0.11855917027352092,3143,15,1,,N,2020-04-11 11:01:48,25.09,69,0
4,0.7764,104762.25,5,0.8084415584415584,19,BR,4,cat_71b53f3,0.95160938540028894,2367,763,1,,Y,2020-04-06 15:43:54,6.03,23,0
4,0.9492,324387.31,19,0.1034482758620689,0,BR,19,cat_5df4297,0.41759095286987957,3163,263,1,,N,2020-04-14 17:41:04,12.77,70,0
4,0.8186,212990.48,6,0.0980754236940375,136,BR,1,cat_6c4cfdc,0.13245628888088135,5172,95,1,,Y,2020-04-12 11:14:06,45.98,76,0
4,0.8091,18941.58,50,0.0000000000000000,16,BR,0,cat_45398dd,0.99501935413304565,1706,1086,1,,Y,2020-03-25 16:27:03,81.18,26,0
4,0.9036,4953005.29,4,0.0000000000000000,16,BR,3,cat_43b9c10,0.56247304065252024,2477,10,1,N,N,2020-04-11 23:20:26,207.37,97,0
4,0.7977,15271.19,32,1.1705882352941176,12,BR,14,cat_13f55a7,0.54402018271269981,3382,130,1,,Y,2020-04-21 12:21:53,3.28,0,0
4,0.6518,559.46,46,0.3580716143228645,59,BR,38,cat_6c4cfdc,0.51101018738567916,6256,803,1,,Y,2020-03-15 11:20:43,10.76,2,0
4,0.7317,204731.40,50,0.6590114613180515,0,AR,16,cat_8e5dcdc,0.53607204828602306,1259,758,1,,Y,2020-04-03 15:41:07,10.87,0,0
4,0.7737,550274.05,50,0.1388767577954406,5,BR,56,cat_8ef7164,0.043827508422815242,544,540,1,,Y,2020-04-14 18:39:55,21.93,6,0
4,0.8647,206287.68,1,0.0000000000000000,0,BR,5,cat_43b9c10,0.64128682140772142,212,0,1,,N,2020-03-25 20:19:53,229.13,82,0
4,0.8073,49949.58,1,0.2787038271769569,1,BR,21,cat_5347c0c,0.78579104483965878,438,0,1,Y,N,2020-03-30 12:36:58,14.92,55,0
4,0.9373,410162.51,2,0.0000000000000000,12,BR,45,cat_f2dee25,0.25781397610976597,1696,42,1,,N,2020-04-07 17:39:36,248.15,41,0
4,0.9290,16620.50,13,0.0000000000000000,31,BR,7,cat_228843f,0.59445848403705881,3292,196,1,,Y,2020-04-02 01:48:04,39.42,50,0
4,0.7947,70426.88,50,0.3400971706201771,15,BR,33,cat_7d79cff,0.7129757567051449,1310,483,1,Y,Y,2020-04-21 13:03:13,6.75,7,0
